zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Sagittarius,Is stress affecting my body more than I realize?,Ten of Cups,Four of Wands,The Moon,"Sagittarius, your cards suggest a disconnect between your perceived happiness (Ten of Cups) and underlying anxieties (The Moon).  The Four of Wands indicates a stable foundation, but you may be ignoring deeper issues. Prioritize self-care and address your worries.",health,NEGATIVE,NEGATIVE
Cancer,How can I develop a better sleep routine?,The Star,The Chariot,Two of Pentacles,"Cancer, The Star suggests finding calming bedtime rituals. The Chariot and Two of Pentacles encourage balancing your schedule and sticking to it.  Prioritize rest like any other important appointment.",health,NEGATIVE,NEGATIVE
Capricorn,What support do I need on my wellness journey?,The Magician,Page of Cups,Ace of Swords,"Reading:  Capricorn, you have the tools (The Magician) to tap into your creativity and intuition (Page of Cups) for new, clear solutions (Ace of Swords). Explore activities that nurture your emotional and mental well-being.  Prioritize mental clarity for success.",health,POSITIVE,POSITIVE
Capricorn,What emotional blocks are impacting my health?,Two of Swords,Temperance,Ten of Wands,"Capricorn, the Two of Swords shows you're avoiding a difficult decision impacting your wellbeing.  Temperance suggests you need more balance and moderation in your life.  The Ten of Wands reveals you're overburdened and stressed.  Prioritize and find your center.",health,NEGATIVE,POSITIVE
Libra,What does my body need right now?,Nine of Wands,Two of Pentacles,Six of Wands,"Libra, your body needs rest but also movement to release stress (Nine of Wands, Two of Pentacles).  Find a balance between activity and stillness, and celebrate small wins (Six of Wands). Prioritize balanced, mindful movement and acknowledge your progress.",health,NEGATIVE,POSITIVE
Taurus,Is it time to seek medical help or a second opinion?,Two of Cups,Nine of Cups,Temperance,"Taurus, the Two of Cups and Nine of Cups suggest you're seeking balance and fulfillment, but Temperance points to the need for moderation and integration. Consider getting a second opinion to ease your mind and ensure a balanced approach.  It's a good idea to get more information.",health,NEGATIVE,POSITIVE
Sagittarius,What energy is surrounding my current health status?,Temperance,Queen of Pentacles,Ace of Wands,"Reading:  Temperance suggests balance and moderation are key for you right now, Sagittarius.  The Queen of Pentacles points to nurturing your physical body with good habits. The Ace of Wands indicates energy and vitality are within reach.  Focus on mindful self-care.",health,NEGATIVE,POSITIVE
Pisces,Should I be concerned about this recurring symptom?,Queen of Cups,The Lovers,Knight of Wands,"Reading:  Your intuition (Queen of Cups) is telling you something important about this, so listen to your body. The Lovers suggests a choice needs to be made regarding your health.  The Knight of Wands encourages taking action; schedule that doctor's appointment. Get it checked out.",health,NEGATIVE,POSITIVE
Gemini,What does the universe want me to know about my health?,King of Pentacles,The Tower,Nine of Swords,"Gemini, you've built solid health habits (King of Pentacles), but a shake-up is coming (The Tower).  This might bring anxiety (Nine of Swords), but don't overthink it.  Prepare for a change and trust the process.",health,NEGATIVE,POSITIVE
Aries,What area of my life is out of alignment with my health?,The Tower,King of Pentacles,The World,"Reading:  The Tower suggests a sudden upheaval is impacting your finances, Aries.  The King of Pentacles shows you value material security, but The World indicates a need for broader balance.  Consider if your pursuit of stability is stressing you out.",health,NEGATIVE,NEGATIVE
Virgo,Am I being too hard on my body?,King of Wands,Ace of Wands,Ten of Wands,"Reading:  Virgo, the wands suggest you're driven but overloaded.  The King and Ace show initiative, but the Ten reveals you're carrying too much.  Ease up on yourself; find ways to delegate or rest.",health,NEGATIVE,NEGATIVE
Aquarius,What is my relationship with food trying to teach me?,Six of Cups,Three of Swords,The World,"Reading:  Your nostalgic view of food may be causing you some emotional pain.  You're ready to move on to a healthier, more complete relationship with it. Embrace new habits and find peace with food.",health,NEGATIVE,POSITIVE
Cancer,Am I being too hard on my body?,King of Swords,Four of Pentacles,Ten of Cups,"Cancer, the King of Swords suggests you're being quite disciplined, but the Four of Pentacles shows you might be restricting yourself too much. The Ten of Cups indicates this affects your overall happiness.  Ease up a little to find more balance.",health,NEGATIVE,POSITIVE
Pisces,What should I be more mindful of physically or emotionally?,Page of Wands,The World,Queen of Swords,"Reading:  Pisces, the Page of Wands suggests exploring new physical activities or creative outlets. The World and Queen of Swords encourage emotional boundaries and clear communication. Prioritize self-care and honest expression.",health,NEGATIVE,POSITIVE
Gemini,How can I better support my physical well-being?,Queen of Wands,Four of Wands,Six of Swords,"Reading:  Gemini, the Queen of Wands encourages embracing your playful energy for exercise you enjoy.  The Four of Wands suggests establishing a stable routine and supportive environment. The Six of Swords indicates moving away from unhealthy habits. Find joy in movement and create a healthier lifestyle.",health,NEGATIVE,POSITIVE
Sagittarius,How can I release fear about my health?,Four of Pentacles,The Lovers,The Empress,"Reading:  Sagittarius, the Four of Pentacles shows you clinging to anxieties.  The Lovers and The Empress suggest choosing self-care and acceptance.  Focus on nurturing yourself, body and mind.",health,NEGATIVE,POSITIVE
Virgo,What does my body need right now?,Wheel of Fortune,Death,Queen of Cups,"Reading:  Virgo, the Wheel of Fortune, Death, and Queen of Cups indicate your body needs a major lifestyle change, releasing old habits.  Embrace emotional nourishment and self-care.  Prioritize healthy choices for a fresh start.",health,NEGATIVE,POSITIVE
Sagittarius,Will I recover fully from this illness?,Two of Cups,The Hierophant,Judgement,"The Two of Cups and Hierophant suggest support will aid your healing. Judgement indicates a turning point towards recovery, aligning with Sagittarius's optimistic nature.  Focus on self-care and accept help.",health,NEGATIVE,POSITIVE
Capricorn,Should I be concerned about this recurring symptom?,Ace of Wands,Six of Wands,The Magician,"Capricorn, the cards suggest this symptom is a call to action, not a major worry.  You have the power and resources to address it.  Take charge of your health and seek practical solutions.",health,NEGATIVE,POSITIVE
Sagittarius,How can I release anxiety and find peace?,Ten of Cups,Knight of Pentacles,Four of Cups,"Reading:  The Ten of Cups shows you're close to emotional fulfillment, but the Knight of Pentacles suggests you need practical steps towards grounding. The Four of Cups indicates you may be overlooking opportunities for joy.  Focus on appreciating what you have and taking small, calming actions.",health,NEGATIVE,POSITIVE
Pisces,How can I release fear about my health?,Ten of Wands,The World,Four of Pentacles,"Reading:  The Ten of Wands suggests you're overburdened, which fuels health anxieties.  The World signifies completion and healing is within reach. The Four of Pentacles shows a tendency to cling to worry. Let go of the burdens you carry and embrace the healing you deserve.",health,NEGATIVE,POSITIVE
Taurus,What support do I need on my wellness journey?,Ace of Pentacles,Page of Cups,Five of Pentacles,"Reading:  Taurus, the Ace of Pentacles says to ground yourself in practical, physical actions.  The Page of Cups encourages gentle exploration of your emotional needs. The Five of Pentacles suggests you may be feeling deprived; find the support you lack, whether it's community, self-care or resources.  Seek out practical help and address emotional needs.",health,POSITIVE,POSITIVE
Taurus,What should I prioritize to feel healthier?,Ace of Wands,Four of Wands,The Lovers,Reading:  The Ace of Wands suggests starting a new fitness routine or hobby. The Four of Wands and The Lovers point towards finding joy in shared activities and nurturing close relationships. Focus on movement and connection to boost your well-being.,health,NEGATIVE,POSITIVE
Virgo,Is now a good time to focus on fitness?,Three of Pentacles,Four of Cups,Wheel of Fortune,"Virgo, teamwork or group fitness classes could be beneficial now.  You seem a bit bored with your current routine, and change is coming. Consider trying something new to shake things up and meet your fitness goals.",health,POSITIVE,NEGATIVE
Virgo,What does the universe want me to know about my health?,Eight of Wands,Eight of Pentacles,Nine of Swords,"Reading:  Virgo, swift changes are coming that require focused work, especially regarding your well-being.  You may be overthinking things, leading to unnecessary stress. Prioritize rest and self-care to ease your mind.",health,NEGATIVE,NEGATIVE
Virgo,"How can I bring balance to my mind, body, and spirit?",Ten of Swords,Ace of Cups,The Devil,"Reading:  You've hit a mental wall (Ten of Swords), but emotional renewal is coming (Ace of Cups).  Old habits hold you back (The Devil), so break free for true balance. Let go of what no longer serves you.",health,POSITIVE,POSITIVE
Cancer,What hidden factors may be affecting my well-being?,Death,The Magician,Justice,"Reading:  Cancer, old habits and ways of thinking are ending, making space for you to create new, healthier patterns.  You have the tools and power within yourself to make these changes.  Balance and fairness are key in this process.  Look inward and take charge of your well-being.",health,NEGATIVE,POSITIVE
Libra,Should I be concerned about this recurring symptom?,Knight of Wands,Two of Swords,The Sun,"Libra, the Knight of Wands suggests you're eager to address this, but the Two of Swords shows some indecision.  The Sun, however, indicates positive outcomes are likely.  Don't worry too much and get it checked out.",health,NEGATIVE,POSITIVE
Gemini,What does the universe want me to know about my health?,Six of Cups,Seven of Cups,Ten of Pentacles,Reading:  The Six of Cups suggests focusing on simple joys to reduce stress. The Seven of Cups reminds you to avoid getting overwhelmed by too many health options.  The Ten of Pentacles signals a time of stability and building good routines. Nurture your overall well-being by focusing on the fundamentals.,health,NEGATIVE,POSITIVE
Virgo,What support do I need on my wellness journey?,Death,Queen of Cups,Two of Pentacles,"Virgo, you need to release old habits (Death) and embrace your emotional needs (Queen of Cups).  Balancing different wellness activities will be key (Two of Pentacles). Prioritize self-care and find what truly nourishes you.",health,POSITIVE,POSITIVE
Libra,How can I cultivate more self-care in my life?,Queen of Pentacles,The Hierophant,Knight of Cups,"Libra, the Queen of Pentacles encourages practical, grounding routines.  The Hierophant suggests seeking expert advice or structured programs. The Knight of Cups reminds you to connect with activities that bring emotional joy.  Prioritize realistic, enjoyable self-care practices.",health,NEGATIVE,POSITIVE
Aries,What is my relationship with food trying to teach me?,Queen of Swords,Seven of Wands,Two of Wands,"Reading:  The Queen of Swords suggests you approach food with more mindful analysis, not emotional eating.  The Seven and Two of Wands indicate a need to balance discipline with exploring new culinary experiences. Find a healthy middle ground between restriction and indulgence.",health,NEGATIVE,POSITIVE
Scorpio,How can I find motivation to take better care of myself?,Knight of Wands,Ace of Swords,Six of Cups,"Reading:  The Knight of Wands encourages you to embrace new, exciting ways to approach self-care.  The Ace of Swords offers clarity and a fresh start for your routines. The Six of Cups suggests finding comfort in familiar, healthy habits from the past.  Reconnect with activities you used to enjoy.",health,NEGATIVE,POSITIVE
Virgo,Am I neglecting any part of my well-being?,The Sun,The World,King of Cups,"Virgo, The Sun and The World show you're radiating positivity and feeling complete.  The King of Cups suggests you might need to check in with your emotions.  Keep nurturing your emotional well-being.",health,NEGATIVE,POSITIVE
Libra,Am I neglecting any part of my well-being?,Five of Wands,Ace of Wands,Nine of Wands,"Libra, you're juggling a lot (Five of Wands), and a new opportunity is emerging (Ace of Wands), but you're nearing burnout (Nine of Wands). You're likely overextending yourself in certain areas. Prioritize rest and set boundaries to avoid exhaustion.",health,NEGATIVE,NEGATIVE
Virgo,What do I need to let go of to heal fully?,Seven of Pentacles,King of Swords,Nine of Swords,"Virgo, the Seven of Pentacles, King of Swords, and Nine of Swords suggest you release anxieties about long-term results and overthinking.  Stop dwelling on perceived failures; adopt a more logical and decisive approach.  Focus on present actions, not past worries, to move forward.",health,NEGATIVE,POSITIVE
