zodiac,question,card1,card2,card3,reading
Capricorn,Will I find success in a creative field?,Six of Cups,The World,The Devil,"Reading:  The Six of Cups suggests relying on past skills to fuel your creativity. The World indicates fulfilling potential, but The Devil warns of creative blocks due to unhealthy habits.  Focus on balancing work with self-care."
Virgo,Am I on the right path professionally?,The Star,Eight of Pentacles,Seven of Pentacles,"Reading:  Virgo, The Star shows you have hope and vision.  The Eight and Seven of Pentacles suggest you're working hard, but need patience to see results. Keep refining your skills; success is coming."
Gemini,What is my soul’s mission in the professional world?,Knight of Pentacles,Temperance,King of Pentacles,"Reading:  Gemini, your career path involves steady progress and balanced resource management (Knight of Pentacles, King of Pentacles).  Blending practicality with diplomacy will lead to long-term success (Temperance).  Focus on building something substantial and stable."
Aries,What is the energy surrounding my next career move?,Ace of Swords,Three of Cups,The Devil,"Reading:  A new, clear-headed perspective will open up regarding your career.  Celebration and teamwork will be involved, but beware of addictive patterns or unhealthy compromises.  Stay focused on your long-term goals."
Leo,Will I get the promotion I desire?,Three of Wands,Strength,The Devil,"Leo, the Three of Wands shows you're looking ahead, and Strength suggests you have the skills.  The Devil hints at some obstacles, possibly office politics or your own inner doubts. Stay focused and confident to overcome challenges."
Capricorn,Will I find a new job soon?,King of Cups,The Hermit,Four of Pentacles,"Capricorn, the King of Cups suggests you're in control of your emotions regarding your job search.  The Hermit and Four of Pentacles indicate a need for patience and saving resources.  Focus on preparing and budgeting while you wait for the right opportunity."
Taurus,Will I receive financial rewards from my work?,Four of Wands,Queen of Wands,Six of Cups,"Taurus, the Four of Wands, Queen of Wands, and Six of Cups suggest a stable foundation bringing satisfying returns. Your passionate work will likely be recognized and appreciated.  Past efforts may also contribute to your rewards. Enjoy the fruits of your labor."
Leo,Should I invest in further education or training?,Six of Swords,Seven of Wands,Page of Swords,"Reading:  The Six of Swords suggests moving away from your current skillset. The Seven of Wands shows you're ready to tackle challenges in learning new things.  The Page of Swords encourages research before jumping in. Look into programs carefully, Leo."
Aries,How can I be more confident in my career path?,Four of Cups,Page of Cups,Three of Cups,"Aries, you're feeling a little bored and uninspired (Four of Cups) but a new, creative idea is coming (Page of Cups).  Sharing this idea with your network will bring confidence and joy (Three of Cups).  Embrace new opportunities and connect with others."
Pisces,Will my efforts at work be rewarded soon?,King of Cups,Page of Swords,King of Pentacles,"Reading:  The King of Cups shows you're handling things calmly and maturely. The Page of Swords suggests new ideas are forming, but be strategic.  The King of Pentacles confirms material success is coming.  Keep up the good work!"
Libra,Should I pursue a promotion or explore other options?,Seven of Swords,Five of Pentacles,Knight of Cups,"Reading:  The Seven of Swords suggests some trickiness around this promotion, so proceed with caution. The Five of Pentacles indicates a period of scarcity if you leave, but the Knight of Cups encourages following your passions.  Weigh the risks versus your happiness."
Cancer,Will I get the promotion I desire?,Wheel of Fortune,Six of Swords,Ace of Pentacles,"Cancer, the Wheel of Fortune spins in your favor, but the Six of Swords suggests a transition is needed.  The Ace of Pentacles promises new beginnings and financial growth.  Embrace the change to grasp this opportunity."
Capricorn,How can I align my career with my passions?,Six of Swords,King of Wands,Two of Wands,"Reading:  The Six of Swords suggests you're moving away from a career that doesn't fulfill you. The King of Wands and Two of Wands show you're ready to lead and explore new, exciting directions.  Embrace your leadership and explore new paths."
Capricorn,Is fear holding me back from professional success?,Eight of Pentacles,Ten of Cups,Four of Cups,"Capricorn, you're working hard (Eight of Pentacles), but emotional fulfillment feels distant (Ten of Cups), and you're overlooking opportunities (Four of Cups).  Fear might be making you too focused on the grind and blinding you to other paths. Look up and consider new possibilities."
Leo,What should I focus on to grow my career?,Justice,The High Priestess,Knight of Cups,Reading:  Justice highlights the need for fair dealings and balance in your work.  The High Priestess encourages trusting your intuition on career decisions.  The Knight of Cups suggests pursuing opportunities aligned with your passions.  Focus on ethical actions guided by your inner voice and heart.
Aries,Am I working in the right environment?,Six of Wands,The Lovers,Seven of Cups,"Reading:  The Six of Wands suggests public recognition for your efforts, but The Lovers and Seven of Cups indicate a need for careful decision-making.  You may have several appealing options to consider regarding your career. Think carefully about what truly fulfills you."
Virgo,What hidden talents can I apply to my profession?,Page of Wands,Two of Swords,Nine of Wands,"Reading:  Virgo, the Page of Wands sparks a hidden creative fire you can bring to your work.  The Two of Swords suggests you're hesitant, but the Nine of Wands shows resilience.  Embrace your innovative ideas; don't be afraid to experiment."
Aquarius,How can I find more fulfillment in my work?,The Hanged Man,Knight of Pentacles,Nine of Wands,"Reading:  Aquarius, The Hanged Man suggests a shift in perspective is needed.  The Knight of Pentacles encourages a practical, step-by-step approach to your goals.  The Nine of Wands shows you have the resilience to see it through.  Try looking at things differently and be patient with yourself."
Sagittarius,What is the lesson in my current job experience?,Three of Swords,The Tower,Six of Pentacles,"Reading:  Sagittarius, the Three of Swords, Tower, and Six of Pentacles show a painful but necessary change at work.  This restructuring may feel sudden and unsettling, leading to a fairer distribution of responsibilities.  Ultimately, you'll learn to adapt and find balance."
Cancer,What guidance do the cards offer for my professional growth?,Four of Wands,Knight of Swords,Queen of Swords,"Reading:  The Four of Wands suggests a stable foundation for growth, while the Knight of Swords encourages a direct, strategic approach.  The Queen of Swords indicates using clear communication and intellectual sharpness.  Focus on combining stability with sharp, decisive action."
Gemini,Should I relocate for better opportunities?,Six of Pentacles,Nine of Swords,Page of Swords,"Gemini, the Six of Pentacles suggests you'll find support if you move. However, the Nine of Swords hints at anxieties about the unknown. The Page of Swords encourages researching new locations.  Weigh the pros and cons carefully before deciding."
Leo,How do I break free from career stagnation?,Nine of Wands,Two of Pentacles,Knight of Wands,"Reading:  You're almost there, Leo, but feeling burnt out (Nine of Wands).  Juggling responsibilities is key right now (Two of Pentacles).  Take a bold leap towards a new opportunity (Knight of Wands).  Don't give up; a change is coming."
Gemini,Will I find success in a creative field?,The Magician,The Empress,Eight of Cups,"Gemini, The Magician and Empress show your creative power and nurturing potential.  The Eight of Cups suggests you may need to leave something behind to realize it.  Focus on what truly fulfills you."
Aquarius,What changes should I make in my work life?,Queen of Swords,Knight of Cups,The Tower,"Reading:  Aquarius, the Queen of Swords suggests clear communication and setting boundaries.  The Knight of Cups urges you to follow your passions, even if a little risky.  The Tower signals a sudden but needed shift is coming; embrace it.  Be honest, follow your heart, and accept change."
Virgo,How can I create more stability in my career?,Page of Pentacles,Queen of Cups,The Emperor,"Virgo, the Page of Pentacles encourages a practical approach, like learning a new skill.  The Queen of Cups suggests balancing logic with intuition when making decisions. The Emperor reinforces the need for structure and a clear plan.  Focus on building skills, trusting your gut, and getting organized."
Taurus,Is my leadership being acknowledged?,Eight of Swords,Ten of Wands,Queen of Wands,"Taurus, you feel trapped and burdened, possibly taking on too much. This overwork overshadows your natural leadership abilities.  You have the strength within to reclaim your power. Delegate tasks and step into the spotlight."
Leo,How can I find more fulfillment in my work?,Four of Pentacles,Four of Wands,Page of Wands,"Leo, you may be holding onto your resources too tightly, preventing growth.  The Four of Wands suggests celebrating small wins and building stability.  Embrace the Page of Wands' playful curiosity to spark new ideas.  Loosen your grip and explore new possibilities."
Cancer,How can I be more confident in my career path?,Seven of Swords,Seven of Pentacles,Five of Pentacles,Reading:  The Seven of Swords suggests you feel sneaky or unsure of your choices.  The Seven of Pentacles and Five of Pentacles show a need for patience and resourcefulness. Focus on your long-term goals and believe in your abilities.
Pisces,Is fear holding me back from professional success?,Ace of Pentacles,Six of Wands,The Sun,"Reading:  The Ace of Pentacles shows a great opportunity is within reach, but the Six of Wands suggests you're not getting the recognition you deserve.  The Sun confirms your potential for joy and success is huge.  Don't let self-doubt steal your shine."
Libra,Should I take the job offer I received?,Two of Wands,Death,Six of Cups,"Reading:  The Two of Wands shows you at a crossroads, while Death signals a necessary ending to make room for this new beginning.  The Six of Cups hints that this job aligns with your past experience and values. Go for it!"
Taurus,How can I overcome challenges at work?,Eight of Swords,The World,Eight of Cups,"Taurus, the Eight of Swords suggests you feel trapped by your own thoughts. The World and Eight of Cups show you're ready to move past these limitations and seek new opportunities.  Consider exploring different roles or projects to find a better fit."
Taurus,How can I be more confident in my career path?,Three of Swords,Nine of Pentacles,Seven of Cups,"Reading:  Taurus, the Three of Swords suggests past hurts are holding you back.  The Nine of Pentacles shows you have the skills and resources you need. The Seven of Cups indicates you might be overwhelmed by choices, so narrow your focus.  Trust your gut, you've got this."
Gemini,What is the energy surrounding my next career move?,Ten of Wands,Four of Pentacles,Knight of Swords,"Reading:  You might feel burdened and hesitant to let go of something familiar (Four of Pentacles). However, change is coming quickly (Knight of Swords), bringing a new opportunity despite feeling overwhelming (Ten of Wands).  Embrace the change—don't get stuck in old ways."
Taurus,How can I align my career with my passions?,The Chariot,The Sun,Page of Wands,"Reading:  Taurus, The Chariot suggests you take control and drive towards your passions.  The Sun illuminates a clear path filled with joy and success.  The Page of Wands encourages you to explore new creative skills. Take the first step towards a fulfilling career."
Sagittarius,What type of work brings me joy and purpose?,Page of Wands,The Magician,The World,"Reading:  Sagittarius, your creative spark (Page of Wands) and ability to manifest (The Magician) point to a career where you can build something new and complete (The World).  You'll find joy in work that uses your skills and lets you see tangible results. Embrace your entrepreneurial spirit and go make a difference."
Libra,Should I relocate for better opportunities?,The Fool,Judgement,Two of Cups,"Libra, the Fool encourages you to leap into the unknown.  Judgement suggests this move aligns with your higher self.  The Two of Cups promises rewarding partnerships in this new location.  Go for it!"
Aquarius,Am I working in the right environment?,Two of Pentacles,Four of Wands,The Devil,"Aquarius, you're juggling a lot, and a stable foundation is forming despite that (Two of Pentacles).  There's potential for celebration and stability at work (Four of Wands), but unhealthy attachments may be holding you back (The Devil). Consider if current commitments serve your long-term goals."
Libra,Am I ready for a leadership role?,Seven of Pentacles,Two of Pentacles,Eight of Wands,"Libra, the Seven and Two of Pentacles show you're working hard and juggling responsibilities, but haven't quite seen the fruits of your labor yet. The Eight of Wands suggests things are about to speed up, presenting an opportunity.  Be patient, the leadership role is within reach."
Scorpio,Will my efforts at work be rewarded soon?,The Empress,Queen of Swords,Three of Pentacles,"Reading:  Scorpio, your nurturing efforts (Empress) combined with clear communication (Queen of Swords) show promise for collaboration (Three of Pentacles). You'll likely see the fruits of your labor through teamwork.  Focus on collaboration and open communication."
Capricorn,Should I change my career path?,King of Swords,Page of Swords,The Fool,"Capricorn, the King and Page of Swords suggest you have the intellect and drive for a new path. The Fool encourages a leap of faith, but plan carefully.  Think it through, then trust your gut."
Virgo,What hidden talents can I apply to my profession?,Three of Swords,The Star,Judgement,"Reading:  Virgo, the Three of Swords suggests you're holding back sharp analytical skills. The Star and Judgement encourage you to share your innovative ideas and honest feedback.  Embrace these talents for career advancement."
Gemini,Is now a good time to start my own business?,Four of Wands,The Lovers,The Tower,"Gemini, the Four of Wands suggests a stable foundation, but the Lovers and the Tower indicate a big decision with potential disruption.  Starting a business now might bring unexpected challenges. Think carefully before making a leap."
Scorpio,Will my hard work pay off soon?,Nine of Cups,Three of Swords,Ace of Wands,"Reading:  Scorpio, while some emotional bumps (Three of Swords) may appear, your wishes are within reach (Nine of Cups).  New, exciting opportunities are coming (Ace of Wands).  Stay focused and embrace the journey."
Pisces,What is the energy surrounding my next career move?,The Hermit,Page of Swords,Page of Pentacles,Reading:  The Hermit suggests you need some solo time to reflect before leaping.  The Pages of Swords and Pentacles point to new ideas and practical first steps. Consider exploring different learning opportunities before committing.
Scorpio,Is a career change the right decision now?,Seven of Cups,Death,Three of Swords,"Scorpio, your options feel overwhelming, but change is inevitable.  This transition will be painful, but necessary for growth.  Think carefully before making a final decision."
Taurus,Should I invest in further education or training?,Queen of Cups,The Hermit,Ace of Wands,"Reading:  The Queen of Cups suggests following your intuition.  The Hermit points towards self-reflection and research before deciding. The Ace of Wands shows potential for creative growth. Trust your gut, but do your homework first."
Virgo,Am I on the right path professionally?,Knight of Swords,Five of Swords,Seven of Swords,"Reading:  Virgo, your drive is clear (Knight of Swords), but competition or conflict is present (Five of Swords).  Be mindful of sneaky behaviors or shortcuts (Seven of Swords).  Stay focused and direct, but play fair."
Capricorn,How can I achieve work-life balance?,Death,Page of Wands,King of Cups,"Reading:  Capricorn, the Death card signals you need to end old work habits.  The Page of Wands encourages exploring new, creative time management strategies. The King of Cups reminds you to prioritize emotional well-being. Find what truly fulfills you, inside and outside of work."
Virgo,How can I achieve work-life balance?,Nine of Wands,Six of Wands,Nine of Cups,"Reading:  Virgo, you're almost there, but keep protecting your boundaries (Nine of Wands). Celebrate your wins, no matter how small (Six of Wands).  Enjoy what you've created and allow yourself to feel satisfied (Nine of Cups).  Don't be afraid to relax and appreciate your accomplishments."
Libra,Why do I feel stuck in my job?,Wheel of Fortune,The Moon,Ten of Swords,"Libra, the Wheel of Fortune shows this situation is temporary. The Moon and Ten of Swords reveal hidden anxieties and a feeling of being overwhelmed. It's time to address these underlying issues to move forward."
Taurus,Am I being recognized for my efforts at work?,Two of Cups,Strength,King of Wands,"Taurus, the Two of Cups, Strength, and King of Wands suggest you're building strong partnerships and demonstrating leadership.  Your efforts are noticed, and mutual respect is growing. Keep being your authentic self, and your influence will continue to rise."
Pisces,Is fear holding me back from professional success?,Three of Pentacles,Two of Pentacles,Queen of Cups,"Pisces, the Three and Two of Pentacles suggest you're good at juggling responsibilities but lack focus on one key goal.  The Queen of Cups reminds you to trust your intuition when making career decisions. Prioritize what truly matters to move forward."
Aquarius,What is my soul’s mission in the professional world?,King of Pentacles,Three of Swords,Ten of Cups,"Reading:  Aquarius, you're meant to build stable, prosperous structures, even if experiencing some professional heartbreak along the way.  This ultimately leads to long-term fulfillment and collaborative joy. Focus on blending practicality with your innovative vision."
Leo,Will I find a new job soon?,Seven of Swords,Ace of Wands,Temperance,"Reading:  The Seven of Swords suggests some tricky competition, but the Ace of Wands points to a fresh start.  Temperance encourages patience as things balance out.  Stay focused and positive; a new opportunity is brewing."
Taurus,Will I receive financial rewards from my work?,Five of Swords,Two of Wands,Knight of Wands,"Taurus, the Five of Swords suggests some past conflicts may hinder immediate rewards.  The Two and Knight of Wands indicate upcoming opportunities and your drive to pursue them.  Focus on collaboration and long-term goals for better financial outcomes."
Gemini,What career decision will bring me the most peace?,Five of Wands,King of Pentacles,Three of Pentacles,"Reading:  Gemini, the Five of Wands suggests some competition or conflict you need to navigate.  The King of Pentacles and Three of Pentacles point towards a career using your practical skills and teamwork.  Consider a stable role involving collaboration for more peace."
Pisces,Will I find success in a creative field?,King of Cups,Ten of Swords,The Sun,"Reading:  Pisces, your emotional maturity (King of Cups) suggests you're ready, but expect some setbacks (Ten of Swords).  Ultimately, joy and success will follow (The Sun).  Keep going, and don't give up!"
Gemini,What changes should I make in my work life?,The Emperor,The World,The Fool,"Gemini, The Emperor suggests taking more charge of your projects. The World and The Fool indicate a time of completion and new beginnings, so embrace change and explore new roles.  Consider wrapping up old tasks and bravely starting something fresh."
Sagittarius,Is now a good time to start my own business?,Knight of Wands,Two of Swords,Seven of Cups,"Sagittarius, your energy is high (Knight of Wands), but you might be overthinking this decision (Two of Swords).  There are lots of options available (Seven of Cups), so avoid getting overwhelmed. Carefully evaluate the possibilities before taking the leap."
Aquarius,How can I be more confident in my career path?,Two of Cups,Queen of Cups,Queen of Wands,"Aquarius, the Two of Cups, Queen of Cups, and Queen of Wands suggest you embrace collaboration and trust your intuition.  Connect with others who share your passions to build confidence.  Lead with passion and empathy, and your career path will become clearer. Trust your gut, Aquarius!"
Taurus,Am I ready for a leadership role?,Page of Swords,Nine of Pentacles,Queen of Pentacles,"Taurus, the Page of Swords shows you're eager and have fresh ideas. The Nine and Queen of Pentacles reveal your grounded practicality and self-sufficiency. You have the skills, but experience will boost your confidence. Go for it, but stay open to learning as you lead."
Sagittarius,Is now a good time to start my own business?,Ace of Cups,The Emperor,The High Priestess,"Reading:  The Ace of Cups suggests this is an inspiring time for new beginnings, Sagittarius. The Emperor and High Priestess show you have the structure and intuition to lead. Trust your instincts and take the leap."
Capricorn,What changes should I make in my work life?,The Magician,Wheel of Fortune,Justice,"Capricorn, The Magician and Wheel of Fortune show you have the power to create positive change and luck is on your side.  Justice suggests a need for balance and fairness in your dealings. Consider seeking a promotion or new responsibilities to align with your values."
Capricorn,Should I change my career path?,Four of Cups,Death,Ten of Pentacles,"Capricorn, you're feeling bored and a big change is coming.  This transformation leads to long-term stability and financial security. Consider the change, it looks promising."
Gemini,Will my efforts at work be rewarded soon?,Nine of Cups,Page of Swords,The Tower,"Gemini, your current satisfaction (Nine of Cups) might be disrupted by new information or challenges (Page of Swords) leading to unexpected changes (The Tower).  This could mean a shake-up at work, but it's not necessarily bad.  Stay adaptable."
Gemini,How can I find more fulfillment in my work?,Ace of Swords,Page of Swords,Queen of Cups,"Reading:  Gemini, the Ace and Page of Swords suggest fresh perspectives and new ideas are key.  The Queen of Cups indicates you need to connect with your intuition and feelings about your career.  Consider projects that stimulate your intellect and align with your emotional needs."
Libra,Is a career change the right decision now?,Knight of Pentacles,King of Swords,The Hanged Man,"Libra, the Knight of Pentacles shows you're practical, but the King of Swords urges decisive action.  The Hanged Man suggests pausing for a wider perspective.  Think before leaping, but don't overthink it."
Pisces,What type of work brings me joy and purpose?,The Empress,Seven of Cups,Death,"Pisces, The Empress suggests creative work where you nurture and grow.  The Seven of Cups shows you have many options, so explore them!  Death implies a transformation, so embrace change and let go of old career paths.  Try something new and exciting!"
Gemini,Will I find a new job soon?,Six of Cups,Nine of Wands,Five of Cups,"Reading:  The Six of Cups suggests looking back at past connections for opportunities.  The Nine of Wands shows you're resilient, but the Five of Cups indicates some lingering disappointment.  Keep your chin up and network with people you've worked with before."
Taurus,How can I align my career with my passions?,Ace of Pentacles,The Empress,The Fool,"Reading:  Taurus, the Ace of Pentacles suggests a fresh start grounded in practicality.  The Empress encourages you to nurture your creative ideas. The Fool gives you permission to take a leap of faith.  Embrace the new and build from your heart."
Aquarius,How can I overcome challenges at work?,The Devil,Two of Pentacles,Nine of Swords,"Aquarius, The Devil reveals you're feeling trapped by bad habits at work.  The Two of Pentacles suggests you need to find better balance to juggle your tasks.  The Nine of Swords shows this stress is impacting you, so prioritize self-care.  Find balance and address those unhealthy work habits."
Scorpio,Will my efforts at work be rewarded soon?,Eight of Wands,Two of Cups,Five of Pentacles,"Reading:  Scorpio, things are moving quickly, and a collaboration will bring good news.  A period of hardship may precede this, so budget carefully.  Be patient, your rewards are coming."
Scorpio,Is my current job aligned with my purpose?,Page of Pentacles,Page of Wands,Judgement,"Reading:  Scorpio, you're exploring new skills (Page of Pentacles) and passionate ideas (Page of Wands), leading to a reassessment of your values (Judgement). This suggests your current job may not fully align with your evolving purpose.  Consider what truly motivates you."
Taurus,Will I get the promotion I desire?,Nine of Wands,King of Cups,Seven of Wands,"Reading:  Taurus, you're almost there, but expect some competition.  The Nine and Seven of Wands show resilience is key. The King of Cups suggests managing your emotions professionally.  Stay calm and focused."
Aries,How do I break free from career stagnation?,Seven of Wands,Ace of Swords,Queen of Pentacles,"Reading:  Aries, the Seven of Wands shows you're ready to defend your position and push forward.  The Ace of Swords brings clarity and new ideas for career growth. The Queen of Pentacles suggests using practical skills and grounding to make it happen.  Take charge and implement a plan."
Cancer,What skills should I develop to advance?,Ten of Pentacles,The Empress,Five of Swords,"Cancer, the Ten of Pentacles and Empress suggest building long-term financial and creative skills.  The Five of Swords hints at needing to refine your communication to navigate competition.  Focus on blending practical skills with creative vision and assertive communication."
Scorpio,What is blocking my career growth?,Ten of Swords,Wheel of Fortune,Two of Swords,"Reading:  You're stuck in a rut, possibly due to past setbacks (Ten of Swords). Change is coming, bringing new opportunities (Wheel of Fortune), but indecision holds you back (Two of Swords).  Trust your gut and take a chance."
Sagittarius,Will I receive financial rewards from my work?,King of Wands,Six of Cups,Seven of Swords,"Sagittarius, the King of Wands shows your leadership bringing opportunities.  The Six of Cups hints at past efforts finally paying off.  However, the Seven of Swords suggests someone might try to take credit.  Be sure to document your contributions."
Gemini,Will my hard work pay off soon?,The Moon,Queen of Pentacles,Six of Wands,"Reading:  Gemini, the Moon suggests some lingering uncertainties, but the Queen of Pentacles confirms your practical skills are valuable. The Six of Wands indicates upcoming recognition for your efforts.  Keep focusing on your goals."
